DBN,rr_s,rr_t,rr_p,N_s,N_t,N_p,saf_p_11,com_p_11,eng_p_11,aca_p_11,saf_t_11,com_t_11,eng_t_11,aca_t_11,saf_s_11,com_s_11,eng_s_11,aca_s_11,saf_tot_11,com_tot_11,eng_tot_11,aca_tot_11
02M003,,78,74,,36.0,435.0,8.9,8.8,8.9,8.8,8.9,8.5,8.9,9.0,,,,,8.9,8.7,8.9,8.9
02M006,,70,55,,37.0,362.0,8.6,8.1,8.3,8.4,8.1,5.9,7.3,7.8,,,,,8.4,7.0,7.8,8.1
02M011,,96,68,,51.0,360.0,8.9,8.5,8.6,8.8,8.9,8.3,8.7,9.2,,,,,8.9,8.4,8.6,9.0
02M033,,100,94,,31.0,298.0,9.5,9.1,9.2,9.3,9.1,8.7,8.8,9.1,,,,,9.3,8.9,9.0,9.2
02M040,,59,43,,22.0,221.0,8.8,8.6,8.6,8.6,8.9,8.0,7.8,8.5,,,,,8.9,8.3,8.2,8.6
02M041,,98,76,,51.0,480.0,9.1,8.6,8.5,8.8,9.0,8.0,8.8,8.9,,,,,9.1,8.3,8.7,8.8
02M042,,67,87,,37.0,530.0,8.6,7.4,7.6,7.5,8.5,7.1,7.8,8.3,,,,,8.5,7.3,7.7,7.9
02M047,72.0,76,30,109.0,16.0,43.0,8.9,7.7,7.9,8.1,8.1,6.1,7.7,7.2,7.3,6.3,7.0,7.5,8.1,6.7,7.5,7.6
02M051,,85,99,,22.0,278.0,8.8,8.0,8.0,8.2,9.4,8.2,8.9,9.0,,,,,9.1,8.1,8.4,8.6
02M059,,78,66,,28.0,264.0,9.0,8.4,8.5,8.6,8.7,6.7,8.1,8.9,,,,,8.8,7.6,8.3,8.7
02M077,,84,85,,16.0,254.0,8.6,8.0,8.2,8.4,8.5,7.6,7.5,8.9,,,,,8.6,7.8,7.8,8.7
02M089,,89,67,,31.0,265.0,8.8,8.2,8.6,8.1,8.5,6.8,8.0,8.4,,,,,8.7,7.5,8.3,8.3
02M104,96.0,100,71,945.0,66.0,663.0,8.0,6.9,7.0,7.4,7.1,6.6,6.9,7.6,6.6,6.2,6.7,7.5,7.2,6.6,6.9,7.5
02M111,94.0,81,33,207.0,46.0,158.0,8.4,7.8,7.8,8.0,6.1,5.0,5.7,5.9,6.8,6.7,7.4,7.8,7.1,6.5,7.0,7.2
02M114,98.0,100,59,429.0,30.0,239.0,9.1,8.0,8.2,8.9,9.1,8.1,8.7,9.6,8.5,7.4,8.2,8.2,8.9,7.8,8.4,8.9
02M116,,70,42,,39.0,272.0,8.4,7.8,7.9,8.0,8.7,7.8,8.4,9.0,,,,,8.5,7.8,8.2,8.5
02M124,,80,90,,51.0,663.0,8.6,7.6,7.7,7.5,7.7,6.5,6.9,7.5,,,,,8.1,7.0,7.3,7.5
02M126,95.0,33,43,332.0,22.0,264.0,8.3,7.1,7.5,7.7,7.4,5.9,5.9,6.8,6.9,6.5,7.4,7.8,7.5,6.5,6.9,7.4
02M130,,98,90,,57.0,712.0,8.8,8.1,8.2,8.1,9.0,8.1,8.7,9.1,,,,,8.9,8.1,8.5,8.6
02M131,89.0,71,43,616.0,42.0,275.0,8.0,7.3,7.2,7.3,7.0,5.7,6.4,7.0,6.8,6.0,6.7,7.1,7.3,6.3,6.8,7.1
02M150,,55,69,,6.0,100.0,8.9,8.2,8.3,8.1,9.1,7.8,8.5,9.1,,,,,9.0,8.0,8.4,8.6
02M151,,79,58,,11.0,93.0,9.1,8.6,8.7,8.9,8.8,8.2,8.3,9.2,,,,,9.0,8.4,8.5,9.0
02M158,,78,59,,40.0,349.0,8.2,7.6,7.8,8.0,7.0,5.6,6.3,7.8,,,,,7.6,6.6,7.1,7.9
02M167,93.0,78,62,1126.0,62.0,709.0,7.9,7.2,7.2,7.5,7.0,6.7,6.8,7.2,6.8,6.3,6.8,7.6,7.2,6.7,6.9,7.5
02M183,,54,46,,26.0,243.0,8.8,8.1,8.3,7.9,8.0,6.1,7.6,7.7,,,,,8.4,7.1,7.9,7.8
02M198,,70,88,,35.0,425.0,8.4,7.6,7.7,7.9,6.2,4.7,5.6,6.4,,,,,7.3,6.1,6.6,7.2
02M212,,91,93,,20.0,274.0,9.1,8.7,8.8,8.6,8.8,8.4,8.8,9.2,,,,,9.0,8.5,8.8,8.9
02M217,95.0,78,49,84.0,25.0,155.0,8.4,7.6,7.6,7.9,7.3,6.0,6.7,7.2,6.3,5.8,6.6,7.2,7.3,6.5,7.0,7.5
02M225,51.0,82,36,35.0,18.0,101.0,8.9,8.4,8.3,8.5,8.3,7.7,7.7,7.7,7.4,7.3,7.6,8.2,8.2,7.8,7.9,8.1
02M234,,89,61,,50.0,415.0,8.9,8.4,8.5,8.4,8.8,7.1,8.3,8.5,,,,,8.9,7.8,8.4,8.4
02M255,95.0,89,50,366.0,24.0,188.0,8.7,8.0,8.1,8.5,8.6,7.8,8.8,9.3,7.9,7.6,8.0,8.3,8.4,7.8,8.3,8.7
02M260,94.0,80,38,255.0,16.0,103.0,8.3,7.6,7.8,7.8,6.5,3.5,5.7,6.8,7.4,6.4,7.3,7.8,7.4,5.8,7.0,7.4
02M267,,100,78,,3.0,31.0,9.1,8.8,8.7,9.0,9.2,8.2,9.3,8.9,,,,,9.2,8.5,9.0,9.0
02M276,97.0,95,84,59.0,21.0,238.0,8.9,7.8,8.0,8.0,8.2,7.1,7.8,8.5,7.8,7.2,8.1,8.3,8.3,7.3,8.0,8.3
02M288,86.0,100,57,348.0,35.0,229.0,7.6,7.0,6.9,7.6,7.3,7.1,7.8,7.7,6.2,5.7,6.1,7.2,7.0,6.6,6.9,7.5
02M289,99.0,94,42,275.0,17.0,111.0,8.5,7.3,7.5,7.3,8.1,6.7,7.4,8.2,7.5,6.7,7.2,7.5,8.0,6.9,7.3,7.7
02M290,,98,65,,45.0,337.0,8.9,8.4,8.4,8.5,9.1,7.9,8.9,9.1,,,,,9.0,8.2,8.7,8.8
02M294,48.0,56,9,150.0,15.0,28.0,8.7,8.1,7.9,8.3,8.0,7.7,7.9,8.9,7.4,6.5,7.3,7.6,7.9,7.3,7.7,8.2
02M296,61.0,96,56,233.0,27.0,204.0,8.0,7.3,7.1,7.5,8.6,8.1,8.7,8.9,7.1,6.5,7.0,7.4,7.9,7.3,7.6,8.0
02M298,96.0,100,46,392.0,29.0,184.0,7.5,7.1,6.9,7.5,6.6,6.3,6.8,7.1,6.6,6.2,6.7,7.5,6.9,6.6,6.8,7.4
02M300,92.0,85,34,349.0,23.0,124.0,8.6,7.9,7.7,8.1,7.3,6.0,6.9,7.5,6.5,5.7,6.1,7.2,7.5,6.5,6.9,7.6
02M303,83.0,100,53,319.0,36.0,200.0,8.2,7.8,7.6,8.0,7.4,7.4,7.7,7.9,7.0,6.6,6.8,7.4,7.5,7.3,7.3,7.8
02M305,82.0,79,4,223.0,15.0,12.0,7.5,7.4,7.3,7.7,5.4,4.3,5.8,6.0,6.0,6.0,6.0,7.2,6.1,5.6,6.2,6.8
02M308,78.0,54,15,240.0,13.0,45.0,7.8,7.4,7.3,7.4,7.4,7.5,7.7,8.0,6.6,5.8,6.7,7.3,7.3,6.9,7.2,7.6
02M312,99.0,59,56,554.0,23.0,305.0,8.5,7.6,7.8,8.0,8.3,7.4,8.0,8.4,7.9,7.2,7.7,7.9,8.2,7.4,7.8,8.1
02M313,70.0,100,27,146.0,18.0,55.0,8.5,8.0,7.8,7.9,7.5,7.5,7.9,8.3,7.6,7.4,7.4,8.2,7.9,7.6,7.7,8.1
02M316,86.0,95,61,294.0,21.0,206.0,8.4,7.6,7.5,7.9,7.0,6.2,6.5,7.4,6.8,6.4,6.7,7.6,7.4,6.7,6.9,7.6
02M347,90.0,80,39,53.0,35.0,72.0,8.9,8.3,8.4,8.5,7.9,7.9,8.1,8.2,7.4,7.0,7.6,8.0,8.0,7.7,8.1,8.2
02M374,96.0,97,59,428.0,33.0,264.0,8.2,7.6,7.7,8.1,6.4,5.5,6.7,6.7,6.1,6.0,6.3,7.2,6.9,6.4,6.9,7.4
02M376,89.0,95,37,278.0,18.0,114.0,8.6,8.3,7.8,8.0,7.7,6.5,6.8,7.4,7.8,7.0,7.6,8.1,8.0,7.3,7.4,7.9
02M392,83.0,94,40,172.0,17.0,81.0,8.3,8.0,7.6,8.2,7.4,7.5,7.5,8.2,6.9,6.4,6.8,7.5,7.5,7.3,7.3,8.0
02M393,92.0,100,39,194.0,18.0,80.0,8.1,7.6,7.5,7.9,6.2,5.8,6.6,7.0,6.2,6.1,6.3,7.0,6.8,6.5,6.8,7.3
02M394,93.0,93,67,228.0,13.0,149.0,8.9,7.8,7.6,8.0,8.2,6.0,7.2,7.8,8.2,7.1,7.3,8.0,8.4,7.0,7.4,7.9
02M397,,100,72,,7.0,73.0,9.4,8.7,8.7,8.9,8.0,4.7,5.6,6.7,,,,,8.7,6.7,7.1,7.8
02M399,84.0,50,36,123.0,7.0,52.0,8.1,7.3,7.1,7.3,6.3,3.2,4.1,5.0,6.6,5.7,6.3,6.9,7.0,5.4,5.8,6.4
02M400,81.0,97,24,1114.0,69.0,323.0,8.3,7.6,7.6,7.7,7.3,6.4,7.1,7.4,7.1,6.2,7.0,7.8,7.6,6.7,7.2,7.6
02M407,95.0,93,45,464.0,25.0,203.0,8.3,8.2,8.2,8.5,8.1,8.1,8.8,9.0,7.5,7.8,7.9,8.3,8.0,8.0,8.3,8.6
02M408,86.0,100,31,408.0,23.0,141.0,8.1,7.0,7.1,7.1,7.8,7.6,8.4,7.9,7.1,5.9,6.5,7.2,7.7,6.9,7.3,7.4
02M411,85.0,71,35,372.0,17.0,149.0,8.4,7.1,7.1,7.6,8.0,5.1,6.0,7.6,7.8,7.0,7.0,7.8,8.1,6.4,6.7,7.6
02M412,93.0,100,45,482.0,34.0,227.0,8.4,8.2,7.9,8.1,7.8,7.7,7.5,8.3,7.5,6.9,7.0,7.7,7.9,7.6,7.5,8.0
02M413,83.0,40,31,540.0,19.0,191.0,8.4,7.7,8.0,8.3,7.5,6.3,7.5,8.1,7.1,6.8,6.9,7.7,7.6,7.0,7.5,8.0
02M414,99.0,97,67,428.0,28.0,282.0,8.0,6.7,6.8,7.0,6.8,4.7,4.9,5.7,7.1,6.1,6.7,7.4,7.3,5.8,6.1,6.7
02M416,85.0,75,37,423.0,24.0,177.0,9.0,8.0,8.0,8.5,8.2,7.1,7.9,8.6,8.1,7.0,7.4,8.2,8.5,7.4,7.8,8.4
02M418,95.0,98,42,596.0,41.0,256.0,8.7,7.6,7.7,8.0,8.6,6.6,7.4,8.3,7.5,6.9,6.8,7.9,8.3,7.0,7.3,8.1
02M419,79.0,100,40,328.0,29.0,161.0,8.0,6.9,6.7,7.3,7.2,5.4,7.1,7.0,6.7,6.2,6.2,7.0,7.3,6.2,6.7,7.1
02M420,93.0,93,54,1536.0,81.0,881.0,7.6,7.0,7.0,7.3,7.7,7.2,7.6,7.9,6.5,5.5,6.1,7.1,7.3,6.6,6.9,7.4
02M422,84.0,75,25,108.0,9.0,31.0,8.1,7.9,7.8,7.7,8.1,8.3,8.4,8.4,6.8,7.1,6.8,7.5,7.7,7.8,7.7,7.8
02M425,63.0,72,7,378.0,31.0,40.0,7.7,7.1,7.0,7.0,6.8,6.6,6.7,7.3,6.1,5.4,6.1,6.9,6.7,6.2,6.5,7.1
02M427,95.0,100,39,82.0,8.0,32.0,9.0,8.6,8.1,8.3,9.0,9.0,9.7,9.6,7.7,6.0,7.3,7.6,8.6,7.8,8.4,8.5
02M429,77.0,84,37,244.0,26.0,112.0,7.5,7.3,7.1,7.0,7.0,6.5,6.9,7.2,6.1,5.8,6.0,7.0,6.9,6.5,6.7,7.1
02M432,88.0,100,62,114.0,11.0,82.0,8.3,8.0,7.4,8.1,8.4,8.4,8.8,9.2,6.2,5.7,6.2,6.9,7.6,7.4,7.5,8.1
02M437,94.0,100,73,102.0,10.0,80.0,8.7,7.6,7.4,7.7,8.7,8.9,9.4,9.4,7.0,7.0,6.9,7.5,8.1,7.8,7.9,8.2
02M438,86.0,100,30,82.0,7.0,28.0,8.8,7.6,7.4,8.1,8.1,7.9,8.1,8.3,7.5,6.8,7.3,7.3,8.1,7.4,7.6,7.9
02M439,99.0,96,41,425.0,27.0,169.0,9.5,8.9,8.3,9.0,8.7,7.3,7.3,8.6,7.6,6.4,6.9,7.9,8.6,7.5,7.5,8.5
02M440,54.0,53,13,230.0,18.0,56.0,7.5,6.8,6.4,6.9,6.3,7.4,7.3,7.6,5.9,5.1,5.7,6.1,6.6,6.4,6.5,6.9
02M442,100.0,88,82,65.0,7.0,115.0,9.0,8.4,8.0,8.5,8.6,7.3,7.9,8.6,8.2,7.6,8.3,8.5,8.6,7.7,8.1,8.5
02M449,82.0,94,32,333.0,30.0,128.0,8.4,7.9,7.5,7.9,7.8,7.9,8.4,8.4,7.0,6.4,6.7,7.5,7.7,7.4,7.6,7.9
02M459,93.0,100,56,295.0,22.0,165.0,8.8,7.8,7.4,7.9,7.7,6.5,7.4,7.7,7.8,6.8,6.9,7.6,8.1,7.0,7.3,7.7
02M460,76.0,90,33,880.0,81.0,377.0,7.8,8.0,7.9,8.0,6.6,6.4,7.1,7.4,6.0,5.7,6.1,6.9,6.8,6.7,7.0,7.5
02M473,58.0,92,8,75.0,24.0,10.0,8.7,7.6,7.3,8.0,8.5,8.5,8.9,8.7,7.8,6.1,7.2,7.6,8.3,7.4,7.9,8.1
02M475,93.0,95,33,3039.0,161.0,1062.0,8.4,7.5,7.7,7.7,7.2,5.6,6.1,7.2,7.5,6.2,7.0,7.9,7.7,6.4,6.9,7.6
02M489,91.0,98,46,702.0,44.0,348.0,8.1,7.3,7.2,7.5,8.7,8.5,8.7,8.7,6.6,5.7,6.0,7.1,7.8,7.2,7.3,7.8
02M500,86.0,94,75,185.0,15.0,164.0,8.4,7.8,7.5,7.6,7.5,7.0,7.3,7.4,7.9,7.4,7.3,7.9,7.9,7.4,7.4,7.6
02M519,90.0,74,40,437.0,20.0,193.0,8.2,7.2,7.2,7.4,6.9,5.4,6.0,6.4,7.0,6.2,6.8,7.5,7.4,6.3,6.7,7.1
02M520,75.0,59,9,1669.0,84.0,201.0,6.5,6.4,6.5,6.6,5.5,5.3,5.9,6.4,5.7,5.3,5.7,6.5,5.8,5.5,5.9,6.5
02M529,79.0,81,25,527.0,38.0,165.0,8.4,7.5,7.5,7.6,6.6,5.8,6.2,6.5,7.1,6.0,6.7,7.4,7.4,6.4,6.8,7.2
02M531,93.0,91,44,194.0,10.0,91.0,8.0,6.8,7.1,6.7,5.9,5.3,6.0,6.2,5.9,5.6,5.7,6.5,6.6,5.9,6.3,6.5
02M542,94.0,100,83,480.0,37.0,396.0,8.8,8.2,7.6,8.4,7.6,6.6,7.5,8.2,7.2,6.2,6.7,7.5,7.9,7.0,7.3,8.0
02M543,80.0,72,12,321.0,23.0,45.0,8.4,7.8,7.5,8.0,7.3,5.6,6.9,7.1,7.0,6.3,6.8,7.4,7.6,6.6,7.1,7.5
02M544,30.0,66,18,108.0,19.0,59.0,9.7,9.6,9.1,9.7,6.1,3.8,5.0,5.8,9.2,9.3,9.5,9.5,8.3,7.6,7.9,8.4
02M545,0.0,68,49,,19.0,158.0,8.6,7.1,7.1,7.4,7.5,5.6,5.8,6.8,,,,,7.9,6.2,6.3,6.9
02M550,91.0,72,64,349.0,26.0,227.0,8.6,7.8,7.4,8.0,7.0,4.7,5.3,6.5,7.7,6.3,7.1,7.5,7.7,6.3,6.6,7.3
02M551,71.0,92,45,276.0,35.0,172.0,8.3,7.6,7.5,8.1,6.4,6.2,6.9,7.3,6.8,6.0,6.7,7.4,7.2,6.6,7.0,7.6
02M560,41.0,79,15,199.0,30.0,72.0,8.9,7.9,8.0,8.1,8.5,8.3,8.6,8.6,8.6,7.2,7.9,8.5,8.6,7.8,8.2,8.4
02M565,99.0,100,83,153.0,16.0,123.0,10.0,9.6,9.4,10.0,9.3,8.3,9.6,9.5,9.1,8.3,8.7,9.3,9.5,8.7,9.2,9.6
02M570,54.0,86,6,99.0,12.0,12.0,8.9,7.8,7.9,8.4,9.3,8.6,9.4,9.1,8.1,7.1,7.8,7.9,8.8,7.8,8.5,8.5
02M575,92.0,88,34,677.0,36.0,233.0,8.9,7.8,7.7,8.1,8.9,7.5,8.5,9.0,8.7,6.8,8.1,8.3,8.8,7.4,8.1,8.4
02M580,93.0,83,37,519.0,38.0,198.0,8.2,7.6,7.2,7.6,7.8,7.4,7.7,8.2,6.6,5.7,6.4,7.0,7.5,6.9,7.1,7.6
02M586,64.0,100,66,39.0,9.0,41.0,8.8,7.3,7.2,7.6,6.7,4.9,5.7,6.2,7.4,6.9,7.6,8.0,7.6,6.4,6.8,7.3
02M600,94.0,91,17,1495.0,85.0,263.0,7.9,6.8,7.1,7.3,7.4,7.2,7.3,7.7,6.5,5.6,6.5,7.3,7.3,6.5,6.9,7.4
02M605,71.0,100,31,129.0,14.0,55.0,7.7,6.7,6.8,7.2,7.4,5.6,7.0,7.5,7.0,6.7,6.6,7.3,7.4,6.3,6.8,7.3
02M615,97.0,89,28,468.0,32.0,134.0,8.4,7.6,7.4,7.9,7.0,5.8,6.1,7.1,6.5,5.8,6.3,7.3,7.3,6.4,6.6,7.4
02M620,23.0,79,30,368.0,78.0,478.0,7.0,6.8,6.8,7.0,6.3,6.3,6.2,6.7,6.2,5.6,6.1,6.8,6.5,6.2,6.4,6.9
02M625,75.0,66,24,1192.0,77.0,377.0,6.7,6.8,6.8,7.0,6.7,6.4,6.7,7.2,5.7,5.4,5.7,6.5,6.3,6.2,6.4,6.9
02M630,83.0,46,23,1019.0,39.0,280.0,8.0,6.9,7.2,7.1,8.1,6.4,7.1,7.8,6.7,5.9,6.5,7.2,7.6,6.4,6.9,7.4
02M655,73.0,45,14,474.0,23.0,90.0,8.0,7.3,7.3,7.6,7.3,6.6,7.2,7.7,5.9,5.7,6.4,6.9,7.0,6.5,7.0,7.4
02M896,97.0,100,62,234.0,23.0,139.0,8.9,8.3,8.4,8.4,7.0,5.9,6.9,7.4,7.0,6.6,7.0,7.7,7.6,6.9,7.5,7.8
03M009,,100,86,,38.0,417.0,9.3,8.7,8.6,9.0,8.3,7.3,7.7,8.6,,,,,8.8,8.0,8.1,8.8
03M044,97.0,86,62,61.0,6.0,39.0,8.9,8.3,8.1,8.4,8.2,6.9,8.7,8.9,7.3,6.3,7.3,8.0,8.2,7.2,8.0,8.4
03M054,96.0,88,73,804.0,49.0,587.0,8.3,8.0,7.8,8.7,8.0,7.5,7.9,8.5,7.5,6.5,7.5,7.9,7.9,7.3,7.8,8.3
03M075,,86,56,,43.0,322.0,8.7,8.1,8.2,8.4,7.6,7.1,7.4,7.7,,,,,8.2,7.6,7.8,8.1
03M076,96.0,97,74,101.0,36.0,294.0,9.1,8.6,8.6,8.6,8.3,8.3,8.5,8.9,7.9,7.1,8.4,8.9,8.4,8.0,8.5,8.8
03M084,,89,52,,31.0,221.0,8.5,7.8,7.9,8.0,7.0,5.1,5.7,6.1,,,,,7.8,6.5,6.8,7.1
03M087,,90,46,,57.0,372.0,8.5,8.1,8.2,8.1,7.4,5.3,6.2,6.4,,,,,7.9,6.7,7.2,7.3
03M145,,62,65,,26.0,243.0,9.0,8.3,8.2,8.4,7.2,5.7,5.8,6.9,,,,,8.1,7.0,7.0,7.6
03M149,98.0,59,51,104.0,20.0,172.0,8.6,8.0,7.9,8.4,6.5,5.8,6.6,6.8,6.2,6.0,6.7,7.6,7.1,6.6,7.1,7.6
03M163,,78,48,,36.0,258.0,8.6,8.1,8.2,8.2,7.5,7.1,7.0,7.9,,,,,8.1,7.6,7.6,8.1
03M165,83.0,26,32,135.0,17.0,185.0,9.0,8.5,8.3,8.6,7.9,7.5,7.3,8.1,7.0,6.6,6.9,7.9,8.0,7.5,7.5,8.2
03M166,,73,64,,29.0,332.0,9.0,8.4,8.6,8.6,7.8,6.4,7.2,7.8,,,,,8.4,7.4,7.9,8.2
03M180,100.0,100,50,80.0,50.0,236.0,9.0,8.5,8.3,8.6,7.6,7.7,7.7,8.4,7.8,6.5,7.9,8.0,8.1,7.6,7.9,8.3
03M185,,95,91,,21.0,197.0,9.2,8.5,8.4,8.8,7.6,6.8,6.9,7.4,,,,,8.4,7.7,7.7,8.1
03M191,88.0,73,64,159.0,27.0,257.0,8.3,7.6,7.5,7.8,6.6,5.7,6.2,7.2,6.3,6.5,6.7,7.8,7.1,6.6,6.8,7.6
03M199,,36,46,,18.0,282.0,8.7,8.2,8.5,8.4,8.7,6.4,7.5,8.1,,,,,8.7,7.3,8.0,8.2
03M208,,95,88,,18.0,177.0,8.7,8.1,8.2,8.3,7.7,7.1,7.8,8.1,,,,,8.2,7.6,8.0,8.2
03M241,76.0,45,67,31.0,10.0,83.0,9.1,8.7,8.5,8.7,7.0,5.6,6.7,7.0,7.7,8.2,8.0,8.3,7.9,7.5,7.8,8.0
03M242,,100,45,,25.0,75.0,8.8,8.2,8.2,8.3,7.3,6.0,6.4,6.7,,,,,8.1,7.1,7.3,7.5
03M243,99.0,100,76,155.0,15.0,152.0,9.5,8.8,8.9,9.4,9.0,8.4,9.0,8.9,8.4,7.4,8.5,8.2,9.0,8.2,8.8,8.8
03M245,92.0,38,47,367.0,9.0,185.0,8.8,8.4,8.2,8.2,9.0,8.3,9.3,9.6,7.9,6.9,7.7,8.3,8.6,7.9,8.4,8.7
03M247,94.0,67,77,186.0,12.0,136.0,9.5,9.2,8.8,9.2,8.5,6.5,7.1,8.1,8.7,8.0,8.6,9.1,8.9,7.9,8.2,8.8
03M250,97.0,100,49,175.0,20.0,86.0,8.8,8.0,7.9,8.3,9.0,8.7,9.2,9.5,7.9,7.1,7.7,8.2,8.6,7.9,8.3,8.7
03M256,82.0,100,99,134.0,15.0,158.0,9.2,9.2,8.8,9.4,6.3,6.2,5.7,6.6,6.8,6.8,6.6,7.8,7.4,7.4,7.0,7.9
03M258,87.0,87,20,214.0,20.0,48.0,8.9,8.3,7.8,8.4,7.8,7.7,7.9,8.6,7.0,6.3,7.0,7.6,7.9,7.4,7.6,8.2
03M283,53.0,57,17,186.0,13.0,61.0,7.0,6.8,7.0,6.9,5.8,4.9,5.2,5.3,6.1,6.0,6.3,7.0,6.3,5.9,6.2,6.4
